date,home_id,home_team,away_id,away_team,home_score,away_score,tournament,city,country,neutral
08/09/1999,46,Norway,,Slovenia,4,0,UEFA Euro qualification,Oslo,Norway,FALSE
08/09/1999,,Poland,11,England,0,0,UEFA Euro qualification,Warsaw,Poland,FALSE
08/09/1999,,Romania,8,Portugal,1,1,UEFA Euro qualification,Bucharest,Romania,FALSE
08/09/1999,3,Spain,,Cyprus,8,0,UEFA Euro qualification,Badajoz,Spain,FALSE
08/09/1999,19,Switzerland,,Belarus,2,0,UEFA Euro qualification,Lausanne,Switzerland,FALSE
08/09/1999,,Trinidad and Tobago,31,Colombia,4,3,Friendly,Miami,United States,TRUE
08/09/1999,1,Uruguay,,Venezuela,2,0,Friendly,Montevideo,Uruguay,FALSE
08/09/1999,,Zambia,24,Saudi Arabia,0,0,Friendly,Harare,Zimbabwe,TRUE
11/09/1999,,Zambia,24,Saudi Arabia,1,2,Friendly,Harare,Zimbabwe,TRUE
19/09/1999,15,South Africa,24,Saudi Arabia,1,0,Friendly,Cape Town,South Africa,FALSE
28/09/1999,34,Haiti,,Venezuela,3,2,Friendly,Port-au-Prince,Haiti,FALSE
30/09/1999,24,Saudi Arabia,15,South Africa,0,0,Friendly,Riyadh,Saudi Arabia,FALSE
05/10/1999,47,Scotland,36,Bosnia and Herzegovina,1,0,UEFA Euro qualification,Glasgow,Scotland,FALSE
06/10/1999,33,Canada,,Cuba,0,0,Gold Cup qualification,Los Angeles,United States,TRUE
06/10/1999,,El Salvador,34,Haiti,1,1,Gold Cup qualification,Los Angeles,United States,TRUE
08/10/1999,33,Canada,,El Salvador,2,1,Gold Cup qualification,Los Angeles,United States,TRUE
08/10/1999,,Cuba,34,Haiti,0,1,Gold Cup qualification,Los Angeles,United States,TRUE
09/10/1999,23,Croatia,,Serbia,2,2,UEFA Euro qualification,Zagreb,Croatia,FALSE
09/10/1999,22,Czech Republic,,Faroe Islands,2,0,UEFA Euro qualification,Prague,Czech Republic,FALSE
09/10/1999,,Estonia,36,Bosnia and Herzegovina,1,4,UEFA Euro qualification,Tallinn,Estonia,FALSE
09/10/1999,14,France,,Iceland,3,2,UEFA Euro qualification,Saint-Denis,France,FALSE
09/10/1999,2,Germany,26,Turkey,0,0,UEFA Euro qualification,Munich,Germany,FALSE
09/10/1999,,Latvia,46,Norway,1,2,UEFA Euro qualification,Riga,Latvia,FALSE
09/10/1999,45,Netherlands,7,Brazil,2,2,Friendly,Amsterdam,Netherlands,FALSE
09/10/1999,8,Portugal,,Hungary,3,0,UEFA Euro qualification,Lisbon,Portugal,FALSE
09/10/1999,47,Scotland,,Lithuania,3,0,UEFA Euro qualification,Glasgow,Scotland,FALSE
09/10/1999,21,Sweden,,Poland,2,0,UEFA Euro qualification,Solna,Sweden,FALSE
09/10/1999,,Wales,19,Switzerland,0,2,UEFA Euro qualification,Wrexham,Wales,FALSE
09/10/1999,30,Austria,,Cyprus,3,1,UEFA Euro qualification,Vienna,Austria,FALSE
10/10/1999,33,Canada,34,Haiti,2,1,Gold Cup qualification,Los Angeles,United States,TRUE
10/10/1999,,Denmark,35,Iran,0,0,Friendly,Copenhagen,Denmark,FALSE
10/10/1999,11,England,28,Belgium,2,1,Friendly,Sunderland,England,FALSE
10/10/1999,3,Spain,,Israel,3,0,UEFA Euro qualification,Albacete,Spain,FALSE
12/10/1999,37,Panama,,Trinidad and Tobago,2,2,Friendly,Panama City,Panama,FALSE
12/10/1999,1,Uruguay,20,Ecuador,0,0,Friendly,Montevideo,Uruguay,FALSE
13/10/1999,5,Argentina,31,Colombia,2,1,Friendly,CÃ³rdoba,Argentina,FALSE
13/10/1999,10,Mexico,4,Paraguay,0,1,Friendly,Chicago,United States,TRUE
15/10/1999,,Guatemala,4,Paraguay,0,0,Friendly,Guatemala City,Guatemala,FALSE
16/10/1999,25,Tunisia,,United Arab Emirates,1,0,Friendly,Tunis,Tunisia,FALSE
20/10/1999,10,Mexico,31,Colombia,0,0,Friendly,San Diego,United States,TRUE
27/10/1999,10,Mexico,20,Ecuador,0,0,Friendly,Houston,United States,TRUE
30/10/1999,39,DR Congo,,Congo,1,1,Friendly,Kinshasa,DR Congo,FALSE
30/10/1999,43,Iraq,,Estonia,1,1,United Arab Emirates Friendship Tournament,Abu Dhabi,United Arab Emirates,TRUE
30/10/1999,40,Ivory Coast,,Gabon,0,1,Friendly,Abidjan,Ivory Coast,FALSE
31/10/1999,25,Tunisia,,Zambia,2,1,Friendly,Tunis,Tunisia,FALSE
01/11/1999,43,Iraq,,Turkmenistan,3,0,United Arab Emirates Friendship Tournament,Abu Dhabi,United Arab Emirates,TRUE
02/11/1999,25,Tunisia,,Zambia,0,0,Friendly,Tunis,Tunisia,FALSE
03/11/1999,,Bolivia,4,Paraguay,0,0,Copa Paz del Chaco,Buenos Aires,Argentina,TRUE
03/11/1999,,United Arab Emirates,43,Iraq,2,2,United Arab Emirates Friendship Tournament,Abu Dhabi,United Arab Emirates,FALSE
12/11/1999,32,Egypt,6,Ghana,1,2,Friendly,Cairo,Egypt,FALSE
13/11/1999,14,France,23,Croatia,3,0,Friendly,Saint-Denis,France,FALSE
13/11/1999,,Republic of Ireland,26,Turkey,1,1,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE
13/11/1999,,Italy,28,Belgium,1,3,Friendly,Lecce,Italy,FALSE
13/11/1999,45,Netherlands,22,Czech Republic,1,1,Friendly,Eindhoven,Netherlands,FALSE
13/11/1999,47,Scotland,11,England,0,2,UEFA Euro qualification,Glasgow,Scotland,FALSE
13/11/1999,3,Spain,7,Brazil,0,0,Friendly,Vigo,Spain,FALSE
14/11/1999,46,Norway,2,Germany,0,1,Friendly,Oslo,Norway,FALSE
15/11/1999,,Namibia,32,Egypt,0,1,Friendly,Windhoek,Namibia,FALSE
17/11/1999,11,England,47,Scotland,0,1,UEFA Euro qualification,London,England,FALSE
17/11/1999,29,Morocco,12,United States,2,1,Friendly,Marrakech,Morocco,FALSE
17/11/1999,3,Spain,5,Argentina,0,2,Friendly,Seville,Spain,FALSE
17/11/1999,26,Turkey,,Republic of Ireland,0,0,UEFA Euro qualification,Bursa,Turkey,FALSE
17/11/1999,1,Uruguay,4,Paraguay,0,1,Friendly,Maldonado,Uruguay,FALSE
20/11/1999,27,Senegal,40,Ivory Coast,3,0,Friendly,Dakar,Senegal,FALSE
21/11/1999,,Bangladesh,44,Uzbekistan,0,6,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,TRUE
23/11/1999,,Sri Lanka,44,Uzbekistan,0,6,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,TRUE
25/11/1999,,India,44,Uzbekistan,2,3,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,TRUE
27/11/1999,15,South Africa,21,Sweden,1,0,Friendly,Pretoria,South Africa,FALSE
27/11/1999,,United Arab Emirates,44,Uzbekistan,0,1,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,FALSE
01/12/1999,,Congo,39,DR Congo,0,1,Friendly,Brazzaville,Congo,FALSE
05/12/1999,37,Panama,,Cuba,1,0,Friendly,Panama City,Panama,FALSE
12/12/1999,27,Senegal,,Gambia,3,0,Friendly,Dakar,Senegal,FALSE
14/12/1999,,Greece,6,Ghana,1,1,Friendly,Salonica,Greece,FALSE
21/12/1999,29,Morocco,27,Senegal,0,0,Friendly,Agadir,Morocco,FALSE
22/12/1999,25,Tunisia,6,Ghana,2,0,Friendly,Sfax,Tunisia,FALSE
29/12/1999,40,Ivory Coast,,Burkina Faso,3,1,Friendly,Abidjan,Ivory Coast,FALSE
04/01/2000,32,Egypt,,Togo,2,1,Friendly,Aswan,Egypt,FALSE
